hg18_ID	chromos	position	t	mp	mc2	mc3	mc5	mc9	mc10
La168	spike	-1	2181	 0.25206	 0.18623	 0.19835	 0.19499	 0.200314	 0.19822
Eluc01	spike	-1	2561	29.33255	23.45774	24.61087	24.29443	24.794653	24.59862
EGFP01	spike	-1	968	53.09598	45.52804	47.09851	46.67194	47.344762	47.08206
Taq_245	spike	-1	1347	50.33383	42.80034	44.35333	43.93097	44.597328	44.33704
Taq_268	spike	-1	1065	99.48405	99.30248	99.34490	99.33365	99.351296	99.34447
Taq_498	spike	-1	2	83.33333	78.68569	79.72589	79.44761	79.885136	79.71522
Taq_883	spike	-1	5	25.00000	19.75041	20.77074	20.49027	20.933815	20.75988
Taq_3307	spike	-1	19	52.50000	44.93563	46.50311	46.07723	46.749000	46.48669
SLa341_210	spike	-1	1392	52.29720	44.73453	46.30089	45.87528	46.546646	46.28448
SLa341_137	spike	-1	1366	47.22019	39.77947	41.30199	40.88735	41.541739	41.28599
SLa374_250	spike	-1	1901	53.49632	45.92720	47.49942	47.07246	47.745885	47.48296
SLa374_130	spike	-1	1264	57.27273	49.74080	51.31967	50.89165	51.566486	51.30318
Kan166	spike	-1	2996	36.11945	29.45185	30.78114	30.41738	30.992061	30.76708
c2	correction	-1	0.7383	0.7383	0.7383	0.7383	0.7383	0.7383	0.7383
c3	correction	-1	0.7865	0.7865	0.7865	0.7865	0.7865	0.7865	0.7865
c5	correction	-1	0.7731	0.7731	0.7731	0.7731	0.7731	0.7731	0.7731
c9	correction	-1	0.7943	0.7943	0.7943	0.7943	0.7943	0.7943	0.7943
c10	correction	-1	0.7860	0.7860	0.7860	0.7860	0.7860	0.7860	0.7860 
